iso3c,year,gdp_pc,log_gdp_pc
ARG,2000,7637.014892,8.940762084866842
ARG,2001,7141.475077,8.873674627413516
ARG,2002,2569.699635,7.851544297518165
ARG,2003,3320.477751,8.107863952461408
ARG,2004,4242.020991,8.352795083485793
ARG,2005,5067.653423,8.530633153743528
ARG,2006,5869.38029,8.67750433484694
ARG,2007,7185.251551,8.87978580847786
ARG,2008,8944.110266,9.098750523807258
ARG,2009,8150.23527,9.005802073302913
ARG,2010,10260.13131,9.236020916888478
ARG,2011,12704.28318,9.449694473855613
ARG,2012,12949.717490000001,9.468829251445708
ARG,2013,12963.67577,9.469906553920913
ARG,2014,12233.14441,9.411904301931052
ARG,2015,13679.6265,9.52366288817224
ARG,2016,12699.96231,9.449354304725743
ARG,2017,14532.50093,9.58414286357
ARG,2018,11752.79989,9.371846779696746
ARG,2019,9955.974787,9.205928131041528
ARG,2020,8535.59938,9.052000858890512
ARG,2021,10738.01792,9.281545799820757
ARG,2022,13962.18941,9.544108198546336
ARG,2023,14261.84657,9.56534317857217
ARG,2024,13969.78366,9.54465196608958
BLZ,2000,4726.506755,8.46094167904034
BLZ,2001,4718.777151,8.459304966835086
BLZ,2002,4858.860626,8.488559250314749
BLZ,2003,4959.740124,8.509108623991501
BLZ,2004,5153.713083,8.547472720861814
BLZ,2005,5270.414791,8.569864346407737
BLZ,2006,5524.781678,8.616999010311087
BLZ,2007,5762.210233,8.659076401094804
BLZ,2008,5711.814589,8.650292043583622
BLZ,2009,5399.671,8.59409330477038
BLZ,2010,5461.40736,8.60546179376676
BLZ,2011,5596.052222,8.629816667764702
BLZ,2012,5732.665199,8.653935832284558
BLZ,2013,5957.349536,8.692380952422312
BLZ,2014,6128.120531,8.720643380123864
BLZ,2015,6154.622642,8.72495872755954
BLZ,2016,6140.867139,8.722721239019638
BLZ,2017,6071.854518,8.711419359302267
BLZ,2018,6011.990369,8.70151114890884
BLZ,2019,6171.614498,8.72771575171382
BLZ,2020,5238.540782,8.56379826181569
BLZ,2021,6142.989306,8.723066760319176
BLZ,2022,7068.21728,8.863363574336633
BLZ,2023,7424.758213,8.91257539923496
BLZ,2024,7681.244006,8.9465367929723
BOL,2000,975.7770604,6.883234138599566
BOL,2001,930.1682272,6.8353654592511415
BOL,2002,888.221329,6.789220956305321
BOL,2003,893.0137602,6.794601989716349
BOL,2004,953.1918932,6.859816240362571
BOL,2005,1020.123262,6.927678744075175
BOL,2006,1202.711504,7.092333873415916
BOL,2007,1354.549059,7.211223880138351
BOL,2008,1692.672485,7.434063910967526
BOL,2009,1731.181721,7.4565595300243315
BOL,2010,1929.783731,7.565163219143451
BOL,2011,2315.521219,7.7473900897743055
BOL,2012,2575.598571,7.853837240841697
BOL,2013,2870.02377,7.962075590949334
BOL,2014,3041.435032,8.020084733019717
BOL,2015,2996.012898,8.005037649701274
BOL,2016,3035.873477,8.0182544634047
BOL,2017,4048.401197,8.306077315987066
BOL,2018,4206.855294,8.344470686516894
BOL,2019,4203.154929,8.343590695853228
BOL,2020,3580.967618,8.183388327232052
BOL,2021,4010.760537,8.296736162417163
BOL,2022,4219.461137,8.347462706222627
BOL,2023,4274.708205,8.360471122900954
BOL,2024,4421.166099,8.394158763579663
BRA,2000,3766.547863,8.233914174738441
BRA,2001,3176.289751,8.063469049628868
BRA,2002,2855.940171,7.95715637471064
BRA,2003,3090.606891,8.036122755461252
BRA,2004,3663.822625,8.206262314414785
BRA,2005,4827.781659,8.482142357292554
BRA,2006,5934.145619,8.688478340320485
BRA,2007,7409.690038,8.910543887185804
BRA,2008,8908.333385,9.09474245302495
BRA,2009,8678.658473,9.068622241907883
BRA,2010,11403.284,9.34165666307378
BRA,2011,13396.62632,9.50275818707615
BRA,2012,12521.72385,9.435220322875688
BRA,2013,12458.89034,9.430189730590653
BRA,2014,12274.99416,9.41531947689886
BRA,2015,8936.195589,9.097865228266889
BRA,2016,8836.28546,9.086621870491681
BRA,2017,10080.50787,9.218358924284704
BRA,2018,9300.660729,9.137840722746724
BRA,2019,9029.833044,9.108289157203561
BRA,2020,7074.194075,8.864208804362235
BRA,2021,7972.536961,8.983758034934928
BRA,2022,9281.332821,9.135760438420043
BRA,2023,10377.58977,9.247403930335455
BRA,2024,10310.54888,9.240922813227298
CHL,2000,5052.992458,8.527735912712128
CHL,2001,4563.595299,8.425866034613874
CHL,2002,4430.847412,8.396346134136218
CHL,2003,4773.401775,8.470814490081723
CHL,2004,6120.591521,8.719414024593869
CHL,2005,7480.32331,8.920031293296457
CHL,2006,9318.656553,9.139773750615687
CHL,2007,10346.41382,9.244395247830445
CHL,2008,10683.21888,9.276429460362788
CHL,2009,10098.80172,9.220172054206722
CHL,2010,12632.87047,9.444057463472635
CHL,2011,14487.39278,9.581034086757807
CHL,2012,15241.907,9.631803952645972
CHL,2013,15683.54864,9.660367584625252
CHL,2014,14529.67672,9.583948507177102
CHL,2015,13433.9203,9.505538153101156
CHL,2016,13649.85205,9.521483961726526
CHL,2017,14879.90862,9.607767167239194
CHL,2018,15659.48087,9.658831818931462
CHL,2019,14495.71672,9.581608486149209
CHL,2020,13114.81547,9.481497822053305
CHL,2021,16206.83255,9.693188194649416
CHL,2022,15405.61658,9.642487434897118
CHL,2023,17067.03648,9.744904190874726
CHL,2024,16709.8894,9.723756002776392
COL,2000,2555.00751,7.845810441968123
COL,2001,2472.99084,7.813183563511322
COL,2002,2428.929698,7.795205985808518
COL,2003,2311.942188,7.745843224289322
COL,2004,2818.571954,7.943985636377954
COL,2005,3456.066109,8.147886258502568
COL,2006,3789.853612,8.240082672528404
COL,2007,4769.926147,8.470086100953303
COL,2008,5541.836297,8.620081186372431
COL,2009,5250.972924,8.566168657273394
COL,2010,6398.295845,8.763786959671739
COL,2011,7400.99407,8.90936960395407
COL,2012,8108.598382,9.000680306279385
COL,2013,8279.102556,9.021489854548493
COL,2014,8187.208249,9.010328245598688
COL,2015,6248.514905,8.740099099295483
COL,2016,5959.842504,8.69279933420688
COL,2017,6479.532313,8.776403612821905
COL,2018,6816.968183,8.82717010404956
COL,2019,6472.545449,8.775324733462762
COL,2020,5339.687114,8.582922337353715
COL,2021,6222.621644,8.735946583106513
COL,2022,6680.445069,8.806939891407014
COL,2023,7000.836605,8.853784935896101
COL,2024,7919.208868,8.977046589415053
CRI,2000,3812.753883,8.246107010960795
CRI,2001,3985.129845,8.290325174131379
CRI,2002,4067.718514,8.310837559592446
CRI,2003,4173.148564,8.33642608120395
CRI,2004,4431.011721,8.396383216422802
CRI,2005,4703.007218,8.455957416708914
CRI,2006,5256.596409,8.567239025758946
CRI,2007,6137.711999,8.722207313094824
CRI,2008,6937.2426160000005,8.844659656970057
CRI,2009,6832.698299,8.8294749402863
CRI,2010,8265.788203,9.019880372072228
CRI,2011,9276.391075,9.135227857361667
CRI,2012,10126.999100000001,9.222960314460947
CRI,2013,10803.2402,9.287601386634273
CRI,2014,10911.49788,9.297572363628609
CRI,2015,11714.7106,9.368600647265017
CRI,2016,12091.03016,9.400219147588471
CRI,2017,12317.09028,9.418743030621531
CRI,2018,12590.24938,9.440677934626176
CRI,2019,12884.686,9.463794753367718
CRI,2020,12394.0494,9.42497174931369
CRI,2021,12838.11854,9.460174035354566
CRI,2022,13625.90085,9.519727734776977
CRI,2023,16942.02681,9.737552607448041
CRI,2024,18587.15322,9.830225933970299
ECU,2000,1382.234218,7.231456467536655
ECU,2001,1791.303597,7.490698900257895
ECU,2002,2059.158554,7.63005270940543
ECU,2003,2315.622152,7.747433678578163
ECU,2004,2586.209147,7.857948432704928
ECU,2005,2909.02606,7.975573616860026
ECU,2006,3243.670104,8.08446071585941
ECU,2007,3478.924888,8.154478584806771
ECU,2008,4194.757507,8.341590811986181
ECU,2009,4053.363311,8.307302262630621
ECU,2010,4520.30959,8.416335763843545
ECU,2011,5153.691642,8.547468560551712
ECU,2012,5634.083932,8.636589845733944
ECU,2013,6109.290315,8.717565894028384
ECU,2014,6405.799793,8.764959076636696
ECU,2015,5976.159681,8.695533446837196
ECU,2016,5917.637713,8.685692613276197
ECU,2017,6233.322448,8.737664767862883
ECU,2018,6303.918867,8.748926761372408
ECU,2019,6205.057652,8.733119988812305
ECU,2020,5463.645153,8.605871456425797
ECU,2021,6061.323502,8.70968345488759
ECU,2022,6515.585284,8.78195232190149
ECU,2023,6737.847484,8.815495788506993
ECU,2024,6874.70574,8.835604120164218
GTM,2000,1648.96579,7.407903576437789
GTM,2001,1537.686636,7.338034381581885
GTM,2002,1669.335175,7.4201807273460405
GTM,2003,1722.547019,7.451559299467363
GTM,2004,1840.911849,7.5180162979574146
GTM,2005,2046.466117,7.623869739235416
GTM,2006,2225.123475,7.707567687442607
GTM,2007,2458.815739,7.80743510610233
GTM,2008,2763.059882,7.924093997507963
GTM,2009,2611.646328,7.867736078472032
GTM,2010,2805.259602,7.939251363406955
GTM,2011,3168.983706,8.061166217992628
GTM,2012,3286.619593,8.097614836209369
GTM,2013,3444.158023,8.144434748060624
GTM,2014,3689.145104,8.213150031060026
GTM,2015,3893.505333,8.267065144734865
GTM,2016,4060.137847,8.30897220448246
GTM,2017,4324.997689,8.372166885030577
GTM,2018,4352.945933,8.37860812084571
GTM,2019,4511.998396,8.414495437681378
GTM,2020,4477.61785,8.406846454079835
GTM,2021,4912.622404,8.49956317271188
GTM,2022,5358.70157,8.586476980315949
GTM,2023,5758.327608,8.658402365698091
GTM,2024,6150.025714,8.724211541930034
GUY,2000,931.7966517,6.837114606008565
GUY,2001,931.5747238,6.836876405611191
GUY,2002,950.8669325,6.857374128990688
GUY,2003,973.7425981,6.881146995718327
GUY,2004,1033.310309,6.940522819943986
GUY,2005,1084.065414,6.988473525197354
GUY,2006,3135.605535,8.050577587525408
GUY,2007,3608.286852,8.190988382456794
GUY,2008,4008.962867,8.296287850190032
GUY,2009,4209.132306,8.34501180234638
GUY,2010,4581.761797,8.42983887497505
GUY,2011,4947.221706,8.506581426475764
GUY,2012,5444.397519,8.602342380760216
GUY,2013,5556.912312,8.622797893418152
GUY,2014,5472.688205,8.6075252198518
GUY,2015,5640.415606,8.637713030784296
GUY,2016,5870.878238,8.677759516281753
GUY,2017,6178.665044,8.728857514819985
GUY,2018,6048.386972,8.707546899278123
GUY,2019,6405.824434,8.764962923299628
GUY,2020,6775.709391,8.8210993474251609
GUY,2021,9860.870148,9.196329694007112
GUY,2022,17913.49281,9.793309496141312
GUY,2023,20473.70022,9.926896425387564
GUY,2024,29675.24439,10.298068454995768
HND,2000,1092.564007,6.996282512896577
HND,2001,1132.164875,7.031886897450586
HND,2002,1132.499653,7.032182550955376
HND,2003,1156.081627,7.052791658331137
HND,2004,1215.139954,7.102614537618332
HND,2005,1304.700392,7.173728708723869
HND,2006,1425.847801,7.262521863861489
HND,2007,1577.737892,7.363747386215286
HND,2008,1732.490627,7.457315320948413
HND,2009,1781.157036,7.485018452339209
HND,2010,1893.327227,7.54609099786583
HND,2011,2073.661211,7.6370710249159455
HND,2012,2126.034747,7.662013902606528
HND,2013,2081.128435,7.640665542413236
HND,2014,2179.88172,7.687025897430443
HND,2015,2271.20266,7.728064776345113
HND,2016,2307.344684,7.74385265490254
HND,2017,2413.007656,7.788629238433923
HND,2018,2464.642415,7.809802011045137
HND,2019,2502.327443,7.824976554965796
HND,2020,2307.614943,7.743969777920791
HND,2021,2735.147515,7.913940649416213
HND,2022,3003.289968,8.007463622762327
HND,2023,3227.457625,8.07944999327752
HND,2024,3426.434833,8.139275592312995
MEX,2000,7524.027138,8.92585679727247
MEX,2001,7952.764795,8.981274920145355
MEX,2002,7983.033984,8.985073816682961
MEX,2003,7434.074649,8.9138293923725609
MEX,2004,7849.667596,8.968226465421303
MEX,2005,8671.758919,9.06782692336219
MEX,2006,9512.635753,9.160376273079939
MEX,2007,10134.33271,9.223684216560674
MEX,2008,10523.76854,9.261391648379742
MEX,2009,8423.569332,9.038788928575315
MEX,2010,9728.800784,9.182845918252264
MEX,2011,10664.4944,9.274675222374277
MEX,2012,10744.13352,9.282115165527195
MEX,2013,11216.80085,9.325168009186108
MEX,2014,11391.37735,9.340611975381336
MEX,2015,10021.23861,9.212461980771758
MEX,2016,9097.923977,9.115801532082727
MEX,2017,9649.278168,9.174638390291756
MEX,2018,10084.79376,9.21878400000568
MEX,2019,10369.55536,9.246629422772966
MEX,2020,8841.27075,9.087185895300648
MEX,2021,10314.05067,9.241262387338802
MEX,2022,11405.79405,9.341876755267302
MEX,2023,13860.95978,9.536831518542597
MEX,2024,14185.78122,9.559995419395822
NIC,2000,1017.312443,6.924919569121735
NIC,2001,1051.874236,6.958328838622763
NIC,2002,1014.333904,6.921987423831398
NIC,2003,1021.352167,6.9288826822965035
