iso3c,year,R,E,P,W,WMM,O,M,mpower_index,mpower_n_components,mpower_index_plus_wmm
HND,2024,3,4,5,5,2,4,2,3.8333333333333335,6,3.5714285714285716
PER,2014,3,2,5,5,2,4,5,4,6,3.7142857142857144
NIC,2016,1,1,1,1,1,1,1,1,6,1
SLV,2020,3,4,5,5,5,4,5,4.333333333333333,6,4.428571428571429
MEX,2016,4,2,2,5,1,5,4,3.6666666666666665,6,3.2857142857142856
COL,2016,3,5,5,4,5,4,5,4.333333333333333,6,4.428571428571429
HND,2020,3,4,5,5,2,4,4,4.166666666666667,6,3.857142857142857
ECU,2020,4,4,5,5,2,4,5,4.5,6,4.142857142857143
URY,2024,4,5,5,5,4,4,5,4.666666666666667,6,4.571428571428571
CHL,2022,5,4,5,5,4,3,5,4.5,6,4.428571428571429
CHL,2008,5,4,3,5,NA,3,5,4.166666666666667,6,4.166666666666667
BRA,2018,5,5,5,5,5,5,5,5,6,5
SLV,2014,4,4,2,5,5,4,4,3.8333333333333335,6,4
CRI,2020,4,4,5,5,5,5,5,4.666666666666667,6,4.714285714285714
ECU,2007,4,2,3,3,NA,3,4,3.1666666666666665,6,3.1666666666666665
PER,2010,3,2,5,5,2,3,5,3.8333333333333335,6,3.5714285714285716
MEX,2008,4,2,2,4,NA,4,3,3.1666666666666665,6,3.1666666666666665
ARG,2018,5,4,5,5,3,4,4,4.5,6,4.285714285714286
PAN,2008,3,5,5,5,NA,4,4,4.333333333333333,6,4.333333333333333
BRA,2007,4,4,2,5,NA,5,3,3.8333333333333335,6,3.8333333333333335
GTM,2007,4,2,3,2,NA,4,4,3.1666666666666665,6,3.1666666666666665
GTM,2020,3,2,5,2,4,4,3,3.1666666666666665,6,3.2857142857142856
PAN,2010,4,5,5,5,2,5,4,4.666666666666667,6,4.285714285714286
COL,2014,3,5,5,4,5,3,5,4.166666666666667,6,4.285714285714286
COL,2024,4,5,5,4,2,4,5,4.5,6,4.142857142857143
URY,2020,4,5,5,5,2,4,5,4.666666666666667,6,4.285714285714286
BOL,2024,3,4,5,5,2,2,3,3.6666666666666665,6,3.4285714285714284
CHL,2020,5,4,5,5,4,3,5,4.5,6,4.428571428571429
COL,2008,3,2,5,2,NA,3,3,3,6,3
CHL,2018,5,4,5,5,4,3,5,4.5,6,4.428571428571429
BLZ,2022,3,2,2,2,2,4,2,2.5,6,2.4285714285714284
HND,2012,3,4,5,4,4,4,3,3.8333333333333335,6,3.857142857142857
COL,2012,4,5,5,4,4,3,5,4.333333333333333,6,4.285714285714286
SLV,2012,4,4,2,5,5,5,3,3.8333333333333335,6,4
ECU,2022,4,4,5,5,2,4,5,4.5,6,4.142857142857143
COL,2022,4,5,5,4,2,4,5,4.5,6,4.142857142857143
PRY,2018,2,4,4,3,2,4,3,3.3333333333333335,6,3.142857142857143
BLZ,2007,4,2,2,2,NA,3,4,2.8333333333333335,6,2.8333333333333335
PRY,2020,2,4,5,3,3,4,3,3.5,6,3.4285714285714284
BOL,2020,3,4,5,5,4,2,4,3.8333333333333335,6,3.857142857142857
PER,2022,4,2,5,5,2,4,5,4.166666666666667,6,3.857142857142857
VEN,2010,4,2,2,5,5,4,3,3.3333333333333335,6,3.5714285714285716
CRI,2007,3,2,2,2,NA,4,5,3,6,3
PER,2008,3,2,3,2,NA,3,4,2.8333333333333335,6,2.8333333333333335
URY,2007,4,2,5,5,NA,5,5,4.333333333333333,6,4.333333333333333
URY,2010,4,4,5,5,4,5,5,4.666666666666667,6,4.571428571428571
BOL,2010,3,4,3,5,2,3,2,3.3333333333333335,6,3.142857142857143
PRY,2024,2,4,5,3,2,4,4,3.6666666666666665,6,3.4285714285714284
CHL,2007,5,4,3,5,NA,3,5,4.166666666666667,6,4.166666666666667
SLV,2018,3,4,5,5,5,5,4,4.333333333333333,6,4.428571428571429
BLZ,2024,3,2,2,2,2,4,2,2.5,6,2.4285714285714284
GUY,2014,3,2,3,2,2,4,3,2.8333333333333335,6,2.7142857142857144
NIC,2010,1,1,1,1,1,1,1,1,6,1
GUY,2007,3,2,2,2,NA,3,3,2.5,6,2.5
HND,2008,3,2,2,2,NA,3,2,2.3333333333333335,6,2.3333333333333335
ECU,2018,4,4,5,5,2,4,5,4.5,6,4.142857142857143
CHL,2024,5,4,5,5,5,3,5,4.5,6,4.571428571428571
HND,2007,3,2,2,2,NA,3,2,2.3333333333333335,6,2.3333333333333335
ARG,2014,4,4,5,5,4,4,5,4.5,6,4.428571428571429
CRI,2024,4,4,5,5,2,5,5,4.666666666666667,6,4.285714285714286
PER,2007,3,2,3,2,NA,3,4,2.8333333333333335,6,2.8333333333333335
GUY,2012,3,2,3,2,1,4,3,2.8333333333333335,6,2.5714285714285716
PER,2018,3,2,5,5,1,4,5,4,6,3.5714285714285716
PRY,2010,2,2,2,2,2,4,3,2.5,6,2.4285714285714284
VEN,2016,4,2,5,5,2,4,3,3.8333333333333335,6,3.5714285714285716
NIC,2012,1,1,1,1,1,1,1,1,6,1
HND,2010,3,4,5,4,4,3,2,3.5,6,3.5714285714285716
URY,2022,4,5,5,5,5,4,5,4.666666666666667,6,4.714285714285714
BLZ,2012,3,2,2,2,2,3,3,2.5,6,2.4285714285714284
ECU,2024,4,4,5,5,3,4,2,4,6,3.857142857142857
BLZ,2014,3,2,2,2,2,2,3,2.3333333333333335,6,2.2857142857142856
NIC,2018,1,1,1,1,1,1,1,1,6,1
BLZ,2016,3,2,2,2,1,4,3,2.6666666666666665,6,2.4285714285714284
ARG,2024,5,4,5,5,2,4,3,4.333333333333333,6,4
MEX,2012,4,2,2,5,2,4,4,3.5,6,3.2857142857142856
GUY,2016,2,2,3,2,2,4,4,2.8333333333333335,6,2.7142857142857144
HND,2018,3,4,5,5,4,4,4,4.166666666666667,6,4.142857142857143
ECU,2016,4,4,5,5,2,4,5,4.5,6,4.142857142857143
GUY,2022,2,5,5,5,2,4,2,3.8333333333333335,6,3.5714285714285716
NIC,2007,1,1,1,1,NA,1,1,1,6,1
PER,2020,4,2,5,5,3,4,5,4.166666666666667,6,4
NIC,2014,1,1,1,1,1,1,1,1,6,1
BRA,2016,4,5,5,5,3,5,5,4.833333333333333,6,4.571428571428571
PER,2016,3,2,5,5,3,4,5,4,6,3.857142857142857
BOL,2012,3,4,3,5,3,4,3,3.6666666666666665,6,3.5714285714285716
GTM,2018,3,2,5,2,1,4,3,3.1666666666666665,6,2.857142857142857
GUY,2024,2,5,5,5,2,4,2,3.8333333333333335,6,3.5714285714285716
VEN,2018,4,2,5,5,2,4,2,3.6666666666666665,6,3.4285714285714284
MEX,2022,4,5,5,5,4,5,3,4.5,6,4.428571428571429
VEN,2008,4,2,2,5,NA,4,2,3.1666666666666665,6,3.1666666666666665
PAN,2016,4,5,5,5,3,5,5,4.833333333333333,6,4.571428571428571
URY,2014,4,5,5,5,4,4,5,4.666666666666667,6,4.571428571428571
CRI,2018,4,4,5,5,5,5,5,4.666666666666667,6,4.714285714285714
SLV,2008,3,2,3,2,NA,4,4,3,6,3
PAN,2020,4,5,5,5,2,4,4,4.5,6,4.142857142857143
BRA,2022,5,5,5,5,3,5,5,5,6,4.714285714285714
URY,2008,4,4,5,5,NA,5,5,4.666666666666667,6,4.666666666666667
CHL,2010,5,4,3,5,2,3,5,4.166666666666667,6,3.857142857142857
CHL,2014,5,4,5,5,1,3,5,4.5,6,4
HND,2016,3,4,5,4,5,4,4,4,6,4.142857142857143
PRY,2012,2,2,2,2,2,4,4,2.6666666666666665,6,2.5714285714285716
BRA,2020,5,5,5,5,3,5,5,5,6,4.714285714285714
GUY,2008,3,2,3,2,NA,3,3,2.6666666666666665,6,2.6666666666666665
BLZ,2008,4,2,2,2,NA,3,4,2.8333333333333335,6,2.8333333333333335
CRI,2014,4,4,5,5,4,4,5,4.5,6,4.428571428571429
SLV,2007,3,2,3,2,NA,4,4,3,6,3
PAN,2018,4,5,5,5,5,4,5,4.666666666666667,6,4.714285714285714
ARG,2022,5,4,5,5,2,4,4,4.5,6,4.142857142857143
ARG,2016,5,4,5,5,4,4,5,4.666666666666667,6,4.571428571428571
GUY,2020,3,5,5,5,5,4,4,4.333333333333333,6,4.428571428571429
