iso3c,year,pres_election_year,leg_election_year,yrsoffc,exec_turnover,totalseats,gov1seat,gov_seat_share,gov_majority,oppmajh,checks,polariz,system,years_since_pres_election,years_since_leg_election
ARG,2010,0,0,3,0,257,87,0.33852140077821014,0,0,5,1,Presidential,NA,NA
BLZ,2010,0,0,2,0,31,25,0.8064516129032258,1,0,3,0,Parliamentary,NA,NA
BOL,2010,0,0,5,0,130,88,0.676923076923077,1,0,2,0,Presidential,NA,NA
BRA,2010,1,1,8,0,513,83,0.1617933723196881,0,0,5,1,Presidential,0,0
CHL,2010,1,0,1,1,120,57,0.475,0,1,5,1,Presidential,0,NA
COL,2010,1,1,8,0,166,29,0.1746987951807229,0,0,4,NA,Presidential,0,0
CRI,2010,1,1,4,0,57,25,0.43859649122807015,0,0,3,2,Presidential,0,0
ECU,2010,0,0,4,0,124,59,0.47580645161290325,0,0,4,0,Presidential,NA,NA
GTM,2010,0,0,3,0,158,50,0.31645569620253167,0,0,3,2,Presidential,NA,NA
GUY,2010,0,0,11,0,65,36,0.5538461538461539,1,0,3,0,Assembly-Elected President,NA,NA
HND,2010,0,0,1,1,128,71,0.5546875,1,0,2,0,Presidential,NA,NA
MEX,2010,0,0,4,0,500,143,0.286,0,0,5,1,Presidential,NA,NA
NIC,2010,0,0,4,0,90,38,0.4222222222222222,0,0,4,0,Presidential,NA,NA
PAN,2010,0,0,1,1,78,42,0.5384615384615384,1,0,3,0,Presidential,NA,NA
PER,2010,0,0,4,0,120,36,0.3,0,0,4,0,Presidential,NA,NA
PRY,2010,0,0,2,0,80,2,0.025,0,0,5,2,Presidential,NA,NA
SLV,2010,0,0,1,1,84,35,0.4166666666666667,0,0,4,2,Presidential,NA,NA
SUR,2010,1,1,10,0,51,23,0.45098039215686275,0,0,4,NA,Parliamentary,0,0
URY,2010,0,0,1,1,99,50,0.5050505050505051,1,0,2,0,Presidential,NA,NA
VEN,2010,0,1,12,0,167,133,0.7964071856287425,1,0,NA,0,Presidential,NA,0
ARG,2011,1,1,4,0,257,87,0.33852140077821014,0,0,5,1,Presidential,0,0
BLZ,2011,0,0,3,0,31,25,0.8064516129032258,1,0,3,0,Parliamentary,NA,NA
BOL,2011,0,0,6,0,130,88,0.676923076923077,1,NA,2,0,Presidential,NA,NA
BRA,2011,0,0,1,1,513,88,0.17153996101364521,0,0,5,1,Presidential,1,1
CHL,2011,0,0,2,0,120,58,0.48333333333333334,0,0,4,1,Presidential,1,NA
COL,2011,0,0,1,1,166,47,0.28313253012048195,0,0,4,NA,Presidential,1,1
CRI,2011,0,0,1,1,57,24,0.42105263157894735,0,0,3,2,Presidential,1,1
ECU,2011,0,0,5,0,124,59,0.47580645161290325,0,0,4,0,Presidential,NA,NA
GTM,2011,1,1,4,0,158,50,0.31645569620253167,0,0,3,2,Presidential,0,0
GUY,2011,0,1,12,0,65,36,0.5538461538461539,1,0,3,0,Assembly-Elected President,NA,0
HND,2011,0,0,2,0,128,71,0.5546875,1,0,2,0,Presidential,NA,NA
MEX,2011,0,0,3,0,500,143,0.286,0,0,5,1,Presidential,NA,NA
NIC,2011,1,1,5,0,90,38,0.4222222222222222,0,0,4,0,Presidential,0,0
PAN,2011,0,0,2,0,78,42,0.5384615384615384,1,0,3,0,Presidential,NA,NA
PER,2011,1,1,5,0,120,36,0.3,0,0,4,0,Presidential,0,0
PRY,2011,0,0,3,0,80,2,0.025,0,0,5,2,Presidential,NA,NA
SLV,2011,0,0,2,0,84,35,0.4166666666666667,0,0,4,2,Presidential,NA,NA
SUR,2011,0,0,1,1,51,23,0.45098039215686275,0,0,2,NA,Parliamentary,1,1
URY,2011,0,0,2,0,99,50,0.5050505050505051,1,0,2,0,Presidential,NA,NA
VEN,2011,0,0,13,0,165,98,0.593939393939394,1,0,2,0,Presidential,NA,1
ARG,2012,0,0,5,0,257,115,0.4474708171206226,0,0,5,1,Presidential,1,1
BLZ,2012,0,1,4,0,31,25,0.8064516129032258,1,0,3,0,Parliamentary,NA,0
BOL,2012,0,0,7,0,130,88,0.676923076923077,1,NA,2,0,Presidential,NA,NA
BRA,2012,0,0,2,0,513,88,0.17153996101364521,0,0,5,1,Presidential,2,2
CHL,2012,0,0,3,0,120,58,0.48333333333333334,0,0,4,1,Presidential,2,NA
COL,2012,0,0,2,0,166,47,0.28313253012048195,0,0,4,NA,Presidential,2,2
CRI,2012,0,0,2,0,57,24,0.42105263157894735,0,0,3,2,Presidential,2,2
ECU,2012,0,0,6,0,124,59,0.47580645161290325,0,0,4,0,Presidential,NA,NA
GTM,2012,0,0,1,1,158,56,0.35443037974683544,0,0,4,1,Presidential,1,1
GUY,2012,0,0,1,1,65,32,0.49230769230769234,0,0,4,0,Assembly-Elected President,NA,1
HND,2012,0,0,3,0,128,71,0.5546875,1,0,2,0,Presidential,NA,NA
MEX,2012,1,1,2,0,500,143,0.286,0,0,5,1,Presidential,0,0
NIC,2012,0,0,6,0,90,62,0.6888888888888889,1,0,2,0,Presidential,1,1
PAN,2012,0,0,3,0,78,42,0.5384615384615384,1,0,3,0,Presidential,NA,NA
PER,2012,0,0,1,1,120,47,0.39166666666666666,0,0,4,0,Presidential,1,1
PRY,2012,0,0,4,0,80,2,0.025,0,0,5,2,Presidential,NA,NA
SLV,2012,0,1,3,0,84,35,0.4166666666666667,0,0,4,2,Presidential,NA,0
SUR,2012,0,0,2,0,51,23,0.45098039215686275,0,0,2,NA,Parliamentary,2,2
URY,2012,0,0,3,0,99,50,0.5050505050505051,1,0,2,0,Presidential,NA,NA
VEN,2012,1,0,14,0,165,98,0.593939393939394,1,0,2,0,Presidential,0,2
ARG,2013,0,1,1,1,257,115,0.4474708171206226,0,0,5,1,Presidential,2,0
BLZ,2013,0,0,5,0,31,17,0.5483870967741935,1,0,3,0,Parliamentary,NA,1
BOL,2013,0,0,8,0,130,88,0.676923076923077,1,NA,2,0,Presidential,NA,NA
BRA,2013,0,0,3,0,513,88,0.17153996101364521,0,0,5,1,Presidential,3,3
CHL,2013,1,1,4,0,120,58,0.48333333333333334,0,0,4,1,Presidential,0,0
COL,2013,0,0,3,0,166,47,0.28313253012048195,0,0,4,NA,Presidential,3,3
CRI,2013,0,0,3,0,57,24,0.42105263157894735,0,0,3,2,Presidential,3,3
ECU,2013,1,1,7,0,124,59,0.47580645161290325,0,0,4,0,Presidential,0,0
GTM,2013,0,0,2,0,158,56,0.35443037974683544,0,0,4,1,Presidential,2,2
GUY,2013,0,0,2,0,65,32,0.49230769230769234,0,0,4,0,Assembly-Elected President,NA,2
HND,2013,1,1,4,0,128,71,0.5546875,1,0,2,0,Presidential,0,0
MEX,2013,0,0,1,1,500,212,0.424,0,0,5,1,Presidential,1,1
NIC,2013,0,0,7,0,90,62,0.6888888888888889,1,0,2,0,Presidential,2,2
PAN,2013,0,0,4,0,78,42,0.5384615384615384,1,0,3,0,Presidential,NA,NA
PER,2013,0,0,2,0,120,47,0.39166666666666666,0,0,4,0,Presidential,2,2
PRY,2013,1,1,5,0,80,2,0.025,0,0,5,2,Presidential,0,0
SLV,2013,0,0,4,0,84,31,0.36904761904761907,0,0,4,2,Presidential,NA,1
SUR,2013,0,0,3,0,51,23,0.45098039215686275,0,0,2,NA,Parliamentary,3,3
URY,2013,0,0,4,0,99,50,0.5050505050505051,1,0,2,0,Presidential,NA,NA
VEN,2013,1,0,15,0,165,98,0.593939393939394,1,0,2,0,Presidential,0,3
ARG,2014,0,0,2,0,257,115,0.4474708171206226,0,0,5,0,Presidential,3,1
BLZ,2014,0,0,6,0,31,17,0.5483870967741935,1,0,3,0,Parliamentary,NA,2
BOL,2014,1,1,9,0,130,88,0.676923076923077,1,NA,2,0,Presidential,0,0
BRA,2014,1,1,4,0,513,88,0.17153996101364521,0,0,5,1,Presidential,0,0
CHL,2014,0,0,1,1,120,67,0.5583333333333333,1,0,2,0,Presidential,1,1
COL,2014,1,1,4,0,166,47,0.28313253012048195,0,0,4,NA,Presidential,0,0
CRI,2014,1,1,4,0,57,24,0.42105263157894735,0,0,3,2,Presidential,0,0
ECU,2014,0,0,8,0,137,97,0.708029197080292,1,0,2,0,Presidential,1,1
GTM,2014,0,0,3,0,158,56,0.35443037974683544,0,0,4,1,Presidential,3,3
GUY,2014,0,0,3,0,65,32,0.49230769230769234,0,0,4,0,Assembly-Elected President,NA,3
HND,2014,0,0,1,1,128,48,0.375,0,0,4,0,Presidential,1,1
MEX,2014,0,0,2,0,500,212,0.424,0,0,5,1,Presidential,2,2
NIC,2014,0,0,8,0,90,62,0.6888888888888889,1,0,2,0,Presidential,3,3
PAN,2014,1,1,5,0,78,42,0.5384615384615384,1,0,3,0,Presidential,0,0
PER,2014,0,0,3,0,120,47,0.39166666666666666,0,0,4,0,Presidential,3,3
PRY,2014,0,0,1,1,80,45,0.5625,1,0,2,0,Presidential,1,1
SLV,2014,1,0,5,0,84,31,0.36904761904761907,0,0,4,2,Presidential,0,2
SUR,2014,0,0,4,0,51,23,0.45098039215686275,0,0,2,NA,Parliamentary,4,4
URY,2014,1,1,5,0,99,50,0.5050505050505051,1,0,2,0,Presidential,0,0
VEN,2014,0,0,1,1,165,98,0.593939393939394,1,0,2,0,Presidential,1,4
ARG,2015,1,0,3,0,257,115,0.4474708171206226,0,0,5,0,Presidential,0,2
BLZ,2015,0,1,7,0,31,17,0.5483870967741935,1,0,3,0,Parliamentary,NA,0
BOL,2015,0,0,10,0,130,88,0.676923076923077,1,NA,2,0,Presidential,1,1
BRA,2015,0,0,5,0,513,70,0.1364522417153996,0,0,5,1,Presidential,1,1
CHL,2015,0,0,2,0,120,67,0.5583333333333333,1,0,2,0,Presidential,2,2
COL,2015,0,0,5,0,166,37,0.22289156626506024,0,0,4,NA,Presidential,1,1
CRI,2015,0,0,1,1,57,13,0.22807017543859648,0,0,2,2,Presidential,1,1
ECU,2015,0,0,9,0,137,97,0.708029197080292,1,0,2,0,Presidential,2,2
GTM,2015,1,1,4,0,158,56,0.35443037974683544,0,0,4,1,Presidential,0,0
GUY,2015,0,1,4,0,65,32,0.49230769230769234,0,0,4,0,Assembly-Elected President,NA,0
HND,2015,0,0,2,0,128,48,0.375,0,0,4,0,Presidential,2,2
MEX,2015,0,1,3,0,500,212,0.424,0,0,5,1,Presidential,3,0
NIC,2015,0,0,9,0,90,62,0.6888888888888889,1,0,2,0,Presidential,4,4
PAN,2015,0,0,1,1,71,12,0.16901408450704225,0,0,3,NA,Presidential,1,1
PER,2015,0,0,4,0,120,47,0.39166666666666666,0,0,4,0,Presidential,4,4
PRY,2015,0,0,2,0,80,45,0.5625,1,0,2,0,Presidential,2,2
SLV,2015,0,1,1,1,84,31,0.36904761904761907,0,0,4,2,Presidential,1,0
SUR,2015,0,1,5,0,51,23,0.45098039215686275,0,0,2,NA,Parliamentary,5,0
URY,2015,0,0,1,1,99,50,0.5050505050505051,1,0,2,0,Presidential,1,1
VEN,2015,0,1,2,0,165,98,0.593939393939394,1,0,2,0,Presidential,2,0
ARG,2016,0,0,1,1,257,89,0.3463035019455253,0,1,4,2,Presidential,1,3
BLZ,2016,0,0,8,0,31,19,0.6129032258064516,1,0,3,0,Parliamentary,NA,1
BOL,2016,0,0,11,0,130,88,0.676923076923077,1,NA,2,0,Presidential,2,2
BRA,2016,0,0,6,0,513,70,0.1364522417153996,0,0,5,1,Presidential,2,2
CHL,2016,0,0,3,0,120,67,0.5583333333333333,1,0,2,0,Presidential,3,3
COL,2016,0,0,6,0,166,37,0.22289156626506024,0,0,4,NA,Presidential,2,2
CRI,2016,0,0,2,0,57,13,0.22807017543859648,0,0,2,2,Presidential,2,2
ECU,2016,0,0,10,0,137,97,0.708029197080292,1,0,2,0,Presidential,3,3
GTM,2016,0,0,1,1,158,11,0.06962025316455696,0,1,4,1,Presidential,1,1
GUY,2016,0,0,1,1,65,33,0.5076923076923077,1,0,3,0,Assembly-Elected President,NA,1
HND,2016,0,0,3,0,128,48,0.375,0,0,4,0,Presidential,3,3
MEX,2016,0,0,4,0,500,203,0.406,0,0,4,1,Presidential,4,1
NIC,2016,1,1,10,0,90,62,0.6888888888888889,1,0,2,0,Presidential,0,0
PAN,2016,0,0,2,0,71,12,0.16901408450704225,0,0,3,NA,Presidential,2,2
PER,2016,1,1,5,0,120,47,0.39166666666666666,0,0,4,0,Presidential,0,0
PRY,2016,0,0,3,0,80,45,0.5625,1,0,2,0,Presidential,3,3
SLV,2016,0,0,2,0,84,32,0.38095238095238093,0,0,4,2,Presidential,2,1
SUR,2016,0,0,6,0,51,26,0.5098039215686274,1,0,2,0,Parliamentary,6,1
URY,2016,0,0,2,0,99,50,0.5050505050505051,1,0,2,0,Presidential,2,2
VEN,2016,0,0,3,0,167,55,0.32934131736526945,0,1,4,NA,Presidential,3,1
ARG,2017,0,1,2,0,257,89,0.3463035019455253,0,1,4,2,Presidential,2,0
BLZ,2017,0,0,9,0,31,19,0.6129032258064516,1,0,3,0,Parliamentary,NA,2
BOL,2017,0,0,12,0,130,88,0.676923076923077,1,NA,2,0,Presidential,3,3
BRA,2017,0,0,1,1,513,66,0.1286549707602339,0,1,4,1,Presidential,3,3
CHL,2017,1,1,4,0,120,67,0.5583333333333333,1,0,2,0,Presidential,0,0
COL,2017,0,0,7,0,166,37,0.22289156626506024,0,0,4,NA,Presidential,3,3
CRI,2017,0,0,3,0,57,13,0.22807017543859648,0,0,2,2,Presidential,3,3
ECU,2017,1,1,11,0,137,97,0.708029197080292,1,0,2,0,Presidential,0,0
GTM,2017,0,0,2,0,158,11,0.06962025316455696,0,1,4,1,Presidential,2,2
GUY,2017,0,0,2,0,65,33,0.5076923076923077,1,0,3,0,Assembly-Elected President,NA,2
HND,2017,1,1,4,0,128,48,0.375,0,0,4,0,Presidential,0,0
MEX,2017,0,0,5,0,500,203,0.406,0,0,4,1,Presidential,5,2
NIC,2017,0,0,11,0,92,70,0.7608695652173914,1,0,2,0,Presidential,1,1
PAN,2017,0,0,3,0,71,12,0.16901408450704225,0,0,3,NA,Presidential,3,3
PER,2017,0,0,1,1,130,18,0.13846153846153847,0,1,4,0,Presidential,1,1
PRY,2017,0,0,4,0,80,45,0.5625,1,0,2,0,Presidential,4,4
SLV,2017,0,0,3,0,84,32,0.38095238095238093,0,0,4,2,Presidential,3,2
SUR,2017,0,0,7,0,51,26,0.5098039215686274,1,0,2,0,Parliamentary,7,2
URY,2017,0,0,3,0,99,50,0.5050505050505051,1,0,2,0,Presidential,3,3
VEN,2017,0,0,4,0,167,55,0.32934131736526945,0,1,4,NA,Presidential,4,2
ARG,2018,0,0,3,0,257,89,0.3463035019455253,0,1,4,2,Presidential,3,1
BLZ,2018,0,0,10,0,31,19,0.6129032258064516,1,0,3,0,Parliamentary,NA,3
BOL,2018,0,0,13,0,130,88,0.676923076923077,1,NA,2,0,Presidential,4,4
BRA,2018,1,1,2,0,513,66,0.1286549707602339,0,1,4,1,Presidential,0,0
CHL,2018,1,1,4,0,120,73,0.6083333333333333,1,0,5,NA,Presidential,0,0
COL,2018,1,1,8,0,166,37,0.22289156626506024,0,0,4,NA,Presidential,0,0
CRI,2018,0,0,4,0,57,13,0.22807017543859648,0,0,2,2,Presidential,4,4
ECU,2018,0,0,1,1,137,74,0.5401459854014599,1,0,2,0,Presidential,1,1
