iso3c,year,spar_cap_law
ARG,2010,NA
BLZ,2010,25
BOL,2010,NA
BRA,2010,75
CHL,2010,NA
COL,2010,100
CRI,2010,100
ECU,2010,NA
SLV,2010,NA
GTM,2010,NA
GUY,2010,NA
HND,2010,50
MEX,2010,50
NIC,2010,NA
PAN,2010,NA
PRY,2010,NA
PER,2010,NA
SUR,2010,NA
URY,2010,NA
VEN,2010,NA
ARG,2011,100
BLZ,2011,25
BOL,2011,50
BRA,2011,100
CHL,2011,100
COL,2011,100
CRI,2011,100
ECU,2011,50
SLV,2011,100
GTM,2011,75
GUY,2011,75
HND,2011,25
MEX,2011,100
NIC,2011,25
PAN,2011,100
PRY,2011,100
PER,2011,NA
SUR,2011,50
URY,2011,NA
VEN,2011,75
ARG,2012,50
BLZ,2012,25
BOL,2012,50
BRA,2012,NA
CHL,2012,50
COL,2012,100
CRI,2012,100
ECU,2012,NA
SLV,2012,75
GTM,2012,75
GUY,2012,100
HND,2012,50
MEX,2012,100
NIC,2012,25
PAN,2012,100
PRY,2012,50
PER,2012,100
SUR,2012,50
URY,2012,NA
VEN,2012,25
ARG,2013,50
BLZ,2013,25
BOL,2013,100
BRA,2013,100
CHL,2013,75
COL,2013,100
CRI,2013,100
ECU,2013,25
SLV,2013,100
GTM,2013,50
GUY,2013,100
HND,2013,75
MEX,2013,100
NIC,2013,100
PAN,2013,75
PRY,2013,100
PER,2013,100
SUR,2013,50
URY,2013,100
VEN,2013,50
ARG,2014,50
BLZ,2014,NA
BOL,2014,100
BRA,2014,100
CHL,2014,75
COL,2014,100
CRI,2014,100
ECU,2014,75
SLV,2014,100
GTM,2014,NA
GUY,2014,100
HND,2014,50
MEX,2014,100
NIC,2014,100
PAN,2014,75
PRY,2014,NA
PER,2014,100
SUR,2014,50
URY,2014,NA
VEN,2014,50
ARG,2015,67
BLZ,2015,33
BOL,2015,100
BRA,2015,100
CHL,2015,67
COL,2015,100
CRI,2015,100
ECU,2015,100
SLV,2015,100
GTM,2015,33
GUY,2015,100
HND,2015,100
MEX,2015,100
NIC,2015,100
PAN,2015,100
PRY,2015,100
PER,2015,100
SUR,2015,33
URY,2015,100
VEN,2015,100
ARG,2016,50
BLZ,2016,NA
BOL,2016,100
BRA,2016,100
CHL,2016,100
COL,2016,100
CRI,2016,100
ECU,2016,100
SLV,2016,100
GTM,2016,50
GUY,2016,NA
HND,2016,100
MEX,2016,100
NIC,2016,75
PAN,2016,75
PRY,2016,100
PER,2016,25
SUR,2016,50
URY,2016,100
VEN,2016,100
ARG,2017,50
BLZ,2017,NA
BOL,2017,100
BRA,2017,100
CHL,2017,100
COL,2017,100
CRI,2017,75
ECU,2017,100
SLV,2017,100
GTM,2017,NA
GUY,2017,100
HND,2017,50
MEX,2017,100
NIC,2017,75
PAN,2017,100
PRY,2017,100
PER,2017,50
SUR,2017,50
URY,2017,100
VEN,2017,100
ARG,2018,80
BLZ,2018,20
BOL,2018,NA
BRA,2018,93
CHL,2018,73
COL,2018,80
CRI,2018,93
ECU,2018,87
SLV,2018,100
GTM,2018,67
GUY,2018,NA
HND,2018,7
MEX,2018,100
NIC,2018,100
PAN,2018,53
PRY,2018,40
PER,2018,53
SUR,2018,80
URY,2018,100
VEN,2018,73
ARG,2019,67
BLZ,2019,NA
BOL,2019,NA
BRA,2019,100
CHL,2019,80
COL,2019,80
CRI,2019,93
ECU,2019,87
SLV,2019,100
GTM,2019,67
GUY,2019,100
HND,2019,73
MEX,2019,80
NIC,2019,100
PAN,2019,73
PRY,2019,47
PER,2019,67
SUR,2019,80
URY,2019,93
VEN,2019,73
ARG,2020,67
BLZ,2020,47
BOL,2020,87
BRA,2020,100
CHL,2020,80
COL,2020,73
CRI,2020,93
ECU,2020,87
SLV,2020,100
GTM,2020,73
GUY,2020,100
HND,2020,40
MEX,2020,80
NIC,2020,100
PAN,2020,93
PRY,2020,47
PER,2020,67
SUR,2020,73
URY,2020,73
VEN,2020,73
ARG,2021,50
BLZ,2021,20
BOL,2021,20
BRA,2021,90
CHL,2021,50
COL,2021,60
CRI,2021,20
ECU,2021,30
SLV,2021,80
GTM,2021,50
GUY,2021,100
HND,2021,40
MEX,2021,60
NIC,2021,90
PAN,2021,50
PRY,2021,40
PER,2021,20
SUR,2021,60
URY,2021,20
VEN,2021,30
ARG,2022,70
BLZ,2022,20
BOL,2022,40
BRA,2022,50
CHL,2022,60
COL,2022,60
CRI,2022,20
ECU,2022,80
SLV,2022,80
GTM,2022,50
GUY,2022,40
HND,2022,50
MEX,2022,40
NIC,2022,90
PAN,2022,50
PRY,2022,30
PER,2022,20
SUR,2022,60
URY,2022,70
VEN,2022,90
ARG,2023,70
BLZ,2023,40
BOL,2023,30
BRA,2023,50
CHL,2023,70
COL,2023,60
CRI,2023,20
ECU,2023,60
SLV,2023,80
GTM,2023,30
GUY,2023,30
HND,2023,30
MEX,2023,60
NIC,2023,40
PAN,2023,40
PRY,2023,20
PER,2023,20
SUR,2023,60
URY,2023,60
VEN,2023,50
ARG,2024,70
BLZ,2024,40
BOL,2024,50
BRA,2024,50
CHL,2024,70
COL,2024,60
CRI,2024,30
ECU,2024,60
SLV,2024,100
GTM,2024,30
GUY,2024,40
HND,2024,40
MEX,2024,60
NIC,2024,40
PAN,2024,70
PRY,2024,30
PER,2024,20
SUR,2024,60
URY,2024,70
VEN,2024,80
