iso3c,year,cc_est,ge_est,pv_est,rq_est,rl_est,va_est,state_capacity_wgi
ARG,2000,-0.172407657,-0.028038694,0.095823877,0.182292387,-0.214404494,0.418346971,-0.0581396145
ARG,2002,-0.417055726,-0.228479072,-0.776545405,-0.880716562,-0.761098087,0.260062754,-0.57183736175
ARG,2003,-0.479976803,-0.034219984,-0.359838128,-0.69147563,-0.777115822,0.349125266,-0.49569705975
ARG,2004,-0.414409548,0.015197393,-0.610934913,-0.6980353,-0.767380178,0.362040877,-0.46615690825
ARG,2005,-0.377738357,-0.097979061,-0.041774943,-0.525074363,-0.557991087,0.269231617,-0.38969571700000005
ARG,2006,-0.331238538,-0.033916309,0.001967763,-0.614566982,-0.577015638,0.403436542,-0.38918436675
ARG,2007,-0.372122079,-0.012532503,0.097796634,-0.63569355,-0.601472259,0.448621333,-0.40545509775
ARG,2008,-0.434875011,-0.123509347,-0.087755688,-0.702629447,-0.699731648,0.358895928,-0.49018636325
ARG,2009,-0.445475101,-0.294032037,-0.234854579,-0.830836773,-0.694468081,0.280091494,-0.5662029980000001
ARG,2010,-0.355230033,-0.111791946,-0.084797867,-0.742940903,-0.598094225,0.361670136,-0.45201427675
ARG,2011,-0.364098519,-0.072361067,0.158993661,-0.701964378,-0.563123286,0.344941825,-0.4253868125
ARG,2012,-0.445909202,-0.206967011,0.103040546,-0.897686779,-0.623034239,0.295209914,-0.54339930775
ARG,2013,-0.434306711,-0.254236966,0.065314263,-0.928134799,-0.656328619,0.276933551,-0.56825177375
ARG,2014,-0.549791396,-0.111114293,-0.005121871,-1.066149592,-0.866627336,0.345271766,-0.64842065425
ARG,2015,-0.581265271,-0.04947561,0.008764135,-0.898022354,-0.748635888,0.411758155,-0.56934978075
ARG,2016,-0.299235553,0.218796372,0.197749898,-0.347571164,-0.320159525,0.493263662,-0.18704246749999998
ARG,2017,-0.309002459,0.135085613,0.162542164,-0.196430206,-0.237312034,0.5287081,-0.1519147715
ARG,2018,-0.099273928,0.028060619,0.006909812,-0.195977628,-0.21933043,0.539252579,-0.12163034175
ARG,2019,-0.107116245,-0.120795332,-0.097823091,-0.4530797,-0.427360445,0.570874631,-0.2770879305
ARG,2020,-0.163570061,-0.254261822,-0.071997404,-0.498344272,-0.486265957,0.584501207,-0.350610528
ARG,2021,-0.422596842,-0.390557259,5.30059e-4,-0.631172717,-0.477947891,0.61077702,-0.48056867724999996
ARG,2022,-0.447221607,-0.283489704,-0.09859433,-0.697565734,-0.48235181,0.546316981,-0.47765721375000003
ARG,2023,-0.360883951,-0.377517343,-0.127517909,-0.482535392,-0.410826534,0.533921838,-0.40794080499999996
BLZ,2000,-0.042195026,0.364934474,0.184220716,0.207320943,0.098326825,0.975879788,0.157096804
BLZ,2002,-0.070856519,0.3014974,0.417992562,0.14991577,-0.045510951,0.796831012,0.083761425
BLZ,2003,-0.10321895,0.319293678,0.486082047,0.165346131,0.190566957,0.842791498,0.142996954
BLZ,2004,-0.103965633,0.206384033,0.401561916,-0.118548453,-0.052921403,0.74007237,-0.017262864000000003
BLZ,2005,-0.201737866,0.149592906,0.104911745,0.068797342,-0.048588708,0.688429117,-0.007984081499999997
BLZ,2006,-0.31359604,-0.111628041,0.08197704,-0.301703036,0.023866652,0.544680774,-0.17576511625000002
BLZ,2007,-0.324733347,-0.233249247,0.194921583,-0.352246404,-0.044806231,0.526492059,-0.23875880725
BLZ,2008,-0.302956253,-0.313582987,0.190071985,-0.382103831,-0.133091673,0.646870255,-0.282933686
