iso3c,year,ge_est,rq_est
ARG,2010,-0.111791946,-0.742940903
ARG,2011,-0.072361067,-0.701964378
ARG,2012,-0.206967011,-0.897686779
ARG,2013,-0.254236966,-0.928134799
ARG,2014,-0.111114293,-1.066149592
ARG,2015,-0.04947561,-0.898022354
ARG,2016,0.218796372,-0.347571164
ARG,2017,0.135085613,-0.196430206
ARG,2018,0.028060619,-0.195977628
ARG,2019,-0.120795332,-0.4530797
ARG,2020,-0.254261822,-0.498344272
ARG,2021,-0.390557259,-0.631172717
ARG,2022,-0.283489704,-0.697565734
ARG,2023,-0.377517343,-0.482535392
BLZ,2010,-0.261244267,-0.335602492
BLZ,2011,-0.248732418,-0.37844494
BLZ,2012,-0.165085405,-0.436850935
BLZ,2013,-0.14557004,-0.447350562
BLZ,2014,-0.543895483,-0.461533755
BLZ,2015,-0.641967714,-0.440686822
BLZ,2016,-0.635813773,-0.494319975
BLZ,2017,-0.670175135,-0.556015551
BLZ,2018,-0.627418995,-0.666695118
BLZ,2019,-0.634233057,-0.559759736
BLZ,2020,-0.603579581,-0.550579548
BLZ,2021,-0.526691198,-0.424278557
BLZ,2022,-0.356684655,-0.43876633
BLZ,2023,-0.376311779,-0.430582851
BOL,2010,-0.500350833,-0.797301412
BOL,2011,-0.469424754,-0.76334536099999994
BOL,2012,-0.359967858,-0.832377791
BOL,2013,-0.37855944,-0.78638947
BOL,2014,-0.581926763,-0.886673927
BOL,2015,-0.676909506,-0.919425428
BOL,2016,-0.600444853,-1.019731879
BOL,2017,-0.395564675,-0.995769382
BOL,2018,-0.329585135,-1.007106662
BOL,2019,-0.790566325,-1.001956344
BOL,2020,-0.726455271,-1.035290122
BOL,2021,-0.763246834,-1.16856575
BOL,2022,-0.564738214,-1.210536242
BOL,2023,-0.639481068,-1.177118778
BRA,2010,-0.086862549,0.246619865
BRA,2011,-0.15240407,0.25802207
BRA,2012,-0.160548672,0.173244089
BRA,2013,-0.119030975,0.146290123
BRA,2014,-0.175920635,-0.028219953
BRA,2015,-0.255271554,-0.181910038
BRA,2016,-0.249387071,-0.189951748
BRA,2017,-0.317140609,-0.130978867
BRA,2018,-0.520569623,-0.293125451
BRA,2019,-0.234114677,-0.121404096
BRA,2020,-0.465709209,-0.111011527
BRA,2021,-0.492990375,-0.121613994
BRA,2022,-0.588259339,-0.220437631
BRA,2023,-0.546764314,-0.296478212
CHL,2010,1.157241821,1.415171146
CHL,2011,1.152272344,1.440535307
CHL,2012,1.178443551,1.536198139
CHL,2013,1.158031583,1.48287189
CHL,2014,1.035074949,1.484589577
CHL,2015,0.91883558,1.319842696
CHL,2016,0.833843768,1.363908291
CHL,2017,0.809455633,1.325499177
CHL,2018,0.907178462,1.300452352
CHL,2019,0.863498628,1.158493161
CHL,2020,0.705044687,0.948647738
CHL,2021,0.590294063,0.936240256
CHL,2022,0.546218276,0.978411138
CHL,2023,0.717555761,0.925731719
COL,2010,-0.123824142,0.157253936
COL,2011,-0.050426964,0.279601455
COL,2012,-0.001164993,0.326594681
COL,2013,0.053151831,0.339824229
COL,2014,-0.135854036,0.444412023
COL,2015,-0.093739085,0.407719731
COL,2016,-0.036966585,0.339025348
COL,2017,-0.140821368,0.257446647
COL,2018,-0.139370114,0.224889174
COL,2019,0.032715105,0.317910939
COL,2020,0.008475319,0.225666419
COL,2021,-0.04782765,0.202144697
COL,2022,0.01379638,0.140449166
COL,2023,-0.07587792,0.101034269
CRI,2010,0.298928887,0.586027026
CRI,2011,0.283398628,0.596260905
CRI,2012,0.47439906,0.743631065
CRI,2013,0.45591116,0.747273743
CRI,2014,0.362441927,0.656426251
CRI,2015,0.306554466,0.664466143
CRI,2016,0.283874512,0.526479542
CRI,2017,0.222521707,0.433504254
CRI,2018,0.352706403,0.476172715
CRI,2019,0.347661406,0.544661999
CRI,2020,0.196500391,0.477579594
CRI,2021,0.222867385,0.438738018
CRI,2022,0.052602667,0.567061722
CRI,2023,0.260196477,0.543547571
ECU,2010,-0.674511254,-1.12405169
ECU,2011,-0.527820349,-0.956343532
ECU,2012,-0.474284679,-0.943592429
ECU,2013,-0.448586315,-0.83761102
ECU,2014,-0.385554224,-0.920283794
ECU,2015,-0.394527704,-1.141577363
ECU,2016,-0.383570671,-0.958474398
ECU,2017,-0.352247715,-1.023587346
ECU,2018,-0.317793667,-0.886888802
ECU,2019,-0.367696136,-0.796693981
ECU,2020,-0.47050634,-0.871133387
ECU,2021,-0.241593525,-0.719614744
ECU,2022,-0.309278339,-0.459721535
ECU,2023,-0.494244993,-0.718200982
GTM,2010,-0.720754623,-0.172244892
GTM,2011,-0.72451061,-0.211610183
GTM,2012,-0.787666738,-0.263000935
GTM,2013,-0.727540255,-0.287112713
GTM,2014,-0.762856305,-0.284290075
GTM,2015,-0.769879937,-0.325637251
GTM,2016,-0.654102445,-0.29981479
GTM,2017,-0.692473888,-0.369947046
GTM,2018,-0.717763662,-0.291999519
GTM,2019,-0.726514339,-0.33517915
GTM,2020,-0.713372231,-0.270502895
GTM,2021,-0.7828632,-0.327891737
GTM,2022,-0.907798588,-0.291810006
GTM,2023,-0.897167265,-0.290354937
GUY,2010,-0.122200236,-0.605241239
GUY,2011,-0.082134813,-0.678618312
GUY,2012,-0.100731432,-0.626173019
GUY,2013,-0.102227435,-0.608322561
GUY,2014,-0.221426651,-0.528059959
GUY,2015,-0.330193788,-0.530868948
GUY,2016,-0.283567518,-0.430909157
GUY,2017,-0.281807274,-0.401308507
GUY,2018,-0.254847735,-0.540220737
GUY,2019,-0.395576239,-0.611618996
GUY,2020,-0.446742803,-0.536126554
GUY,2021,-0.261401027,-0.522020161
GUY,2022,-0.266314894,-0.527693391
GUY,2023,-0.294487,-0.563037872
HND,2010,-0.636895478,-0.246572301
HND,2011,-0.520890951,-0.152864039
HND,2012,-0.691542149,-0.205009326
HND,2013,-0.724005818,-0.197600991
HND,2014,-0.812356412,-0.408311367
HND,2015,-0.859404504,-0.417710304
HND,2016,-0.763441384,-0.530846298
HND,2017,-0.530908048,-0.451085269
HND,2018,-0.618258476,-0.448792905
HND,2019,-0.619122744,-0.495705456
HND,2020,-0.645809412,-0.49494037
HND,2021,-0.819059908,-0.534852624
HND,2022,-0.86729633800000006,-0.485292733
HND,2023,-0.795222759,-0.550886929
MEX,2010,0.096291386,0.156337783
MEX,2011,0.252327204,0.184377462
MEX,2012,0.296199024,0.418743193
MEX,2013,0.302350998,0.418155193
MEX,2014,0.133970901,0.359438211
MEX,2015,0.117517561,0.276325017
MEX,2016,0.027610578,0.199013442
MEX,2017,-0.065302551,0.182068795
MEX,2018,-0.292850614,0.084375463
MEX,2019,-0.306684852,0.012595196
MEX,2020,-0.270338684,-0.012910045
MEX,2021,-0.343543798,-0.251374453
MEX,2022,-0.281723529,-0.148309499
MEX,2023,-0.198361441,-0.171988308
NIC,2010,-0.949312687,-0.302378356
NIC,2011,-0.893715918,-0.353553355
NIC,2012,-0.891339302,-0.310052246
NIC,2013,-0.813365757,-0.308052003
NIC,2014,-0.837822556,-0.408892065
NIC,2015,-0.862327516,-0.419965863
NIC,2016,-0.73757118,-0.528951228
NIC,2017,-0.668117821,-0.695781589
NIC,2018,-0.812322795,-0.731356859
NIC,2019,-0.777325749,-0.714432657
NIC,2020,-0.679674625,-0.679826021
NIC,2021,-0.884827673,-0.852285445
NIC,2022,-1.03687942,-0.914733768
NIC,2023,-1.08494556,-0.878058851
PAN,2010,0.131257296,0.472236633
PAN,2011,0.130668715,0.534382701
PAN,2012,0.319876164,0.468524963
PAN,2013,0.318168879,0.447597444
PAN,2014,0.277430743,0.476986915
PAN,2015,0.277811021,0.447250634
