iso3c,year,health_exp_gdp
ARG,2000,8.22001076
ARG,2001,8.26966286
ARG,2002,7.33203077
ARG,2003,6.92670012
ARG,2004,7.09477043
ARG,2005,7.73392439
ARG,2006,7.70940399
ARG,2007,7.86196613
ARG,2008,8.24087811
ARG,2009,9.56852913
ARG,2010,9.4852438
ARG,2011,9.51042366
ARG,2012,9.8851881
ARG,2013,9.92091465
ARG,2014,9.79773045
ARG,2015,10.27364159
ARG,2016,10.05355549
ARG,2017,10.26057911
ARG,2018,10.17289257
ARG,2019,10.11911297
ARG,2020,10.67246342
ARG,2021,11.00910187
ARG,2022,10.15950489
ARG,2023,10.2695179
ARG,2024,NA
BLZ,2000,2.93866777
BLZ,2001,3.45384741
BLZ,2002,3.55506229
BLZ,2003,3.5292151
BLZ,2004,3.41825557
BLZ,2005,3.43729496
BLZ,2006,3.54883528
BLZ,2007,4.05345058
BLZ,2008,4.51286459
BLZ,2009,4.50473404
BLZ,2010,4.47716761
BLZ,2011,4.52904415
BLZ,2012,4.34283972
BLZ,2013,4.42128754
BLZ,2014,4.87071466
BLZ,2015,4.65988731
BLZ,2016,4.77207184
BLZ,2017,4.62228823
BLZ,2018,4.75529861
BLZ,2019,4.81608105
BLZ,2020,5.33901167
BLZ,2021,5.04598379
BLZ,2022,4.21643019
BLZ,2023,4.14735794
BLZ,2024,NA
BOL,2000,4.39554119
BOL,2001,4.82522202
BOL,2002,4.89645052
BOL,2003,5.19709635
BOL,2004,4.86315727
BOL,2005,5.07408142
BOL,2006,4.66087532
BOL,2007,4.6968894
BOL,2008,4.60677242
BOL,2009,5.17444515
BOL,2010,5.20230532
BOL,2011,5.17306805
BOL,2012,5.2539444
BOL,2013,5.57465124
BOL,2014,5.89613628
BOL,2015,6.55064964
BOL,2016,6.83333063
BOL,2017,6.4901948
BOL,2018,6.60399437
BOL,2019,6.88792992
BOL,2020,8.0225811
BOL,2021,8.16016769
BOL,2022,7.15933084
BOL,2023,6.91864729
BOL,2024,NA
BRA,2000,8.33457184
BRA,2001,8.54963303
BRA,2002,8.69686985
BRA,2003,8.18899441
BRA,2004,8.12491989
BRA,2005,8.03539562
BRA,2006,8.24952507
BRA,2007,8.20182991
BRA,2008,8.01128483
BRA,2009,8.39480495
BRA,2010,7.94516611
BRA,2011,7.78819132
BRA,2012,7.73637724
BRA,2013,7.9766016
BRA,2014,8.39644146
BRA,2015,8.90929985
BRA,2016,9.16901684
BRA,2017,9.47125053
BRA,2018,9.46475029
