iso3c,year,tobacco_law_enforce_index_core,tobacco_n_indicators_core,tobacco_law_enforce_index_full,tobacco_n_indicators_full
CHL,2024,0.8823529411764706,17,0.782142857142857,20
HND,2008,0.3,10,0.23076923076923078,13
PAN,2012,1,16,0.8872180451127818,19
CHL,2007,0.8823529411764706,17,0.75,20
NIC,2014,NA,0,NA,0
GTM,2012,0.9375,16,0.8458646616541354,19
HND,2007,0.3,10,0.23076923076923078,13
GUY,2008,0.2222222222222222,9,0.2,10
GUY,2018,0.8823529411764706,17,0.8107142857142857,20
URY,2012,0.8823529411764706,17,0.782142857142857,20
NIC,2008,NA,0,NA,0
BRA,2014,0.8235294117647058,17,0.7857142857142857,20
GTM,2018,0.9375,16,0.8458646616541354,19
BRA,2007,0.8235294117647058,17,0.7964285714285714,20
BLZ,2008,0.3333333333333333,6,0.2857142857142857,7
PRY,2020,0.8823529411764706,17,0.782142857142857,20
VEN,2014,0.8461538461538461,13,0.8418367346938777,14
CRI,2018,1,16,0.9661654135338344,19
ECU,2014,1,17,0.9035714285714287,20
BLZ,2022,0.3333333333333333,6,0.2857142857142857,7
BOL,2018,0.6,15,0.5882352941176471,17
MEX,2007,0.2,10,0.18831168831168832,11
PRY,2010,0.36363636363636365,11,0.3333333333333333,12
PAN,2008,0.9375,16,0.8345864661654137,19
MEX,2016,1,17,0.9285714285714286,20
GUY,2016,0.2222222222222222,9,0.2,10
SLV,2010,0.23076923076923078,13,0.1875,16
URY,2007,0.6666666666666666,15,0.6388888888888888,18
ECU,2018,1,17,0.9035714285714287,20
PAN,2020,1,16,0.8872180451127818,19
PRY,2008,0.36363636363636365,11,0.3333333333333333,12
PAN,2018,1,16,0.8872180451127818,19
SLV,2007,0.23076923076923078,13,0.1875,16
PAN,2014,1,16,0.8872180451127818,19
PER,2014,0.6875,16,0.7030075187969926,19
COL,2022,0.8823529411764706,17,0.8035714285714286,20
NIC,2016,NA,0,NA,0
ARG,2012,1,17,0.9464285714285714,20
PAN,2016,1,16,0.8872180451127818,19
BLZ,2016,0.3333333333333333,6,0.2857142857142857,7
BLZ,2012,0.3333333333333333,6,0.2857142857142857,7
SLV,2020,0.9411764705882353,17,0.8964285714285714,20
HND,2020,0.9375,16,0.868421052631579,19
URY,2024,0.9411764705882353,17,0.8321428571428573,20
BRA,2008,0.8235294117647058,17,0.7964285714285714,20
VEN,2018,0.8461538461538461,13,0.8418367346938777,14
SLV,2024,0.9411764705882353,17,0.8964285714285714,20
MEX,2008,1,17,1,17
COL,2012,0.8823529411764706,17,0.8035714285714286,20
ARG,2022,1,17,0.9464285714285714,20
CHL,2010,0.8823529411764706,17,0.75,20
VEN,2022,0.8461538461538461,13,0.8418367346938777,14
PER,2010,0.5625,16,0.5864661654135337,19
PER,2012,0.6875,16,0.7030075187969926,19
MEX,2020,1,17,0.9214285714285714,20
VEN,2007,0.8461538461538461,13,0.8316326530612245,14
PER,2020,0.6875,16,0.7030075187969926,19
URY,2010,0.8235294117647058,17,0.7535714285714287,20
BOL,2020,0.7058823529411765,17,0.6842105263157895,19
MEX,2012,1,17,0.9035714285714287,20
GUY,2022,0.8823529411764706,17,0.8107142857142857,20
MEX,2018,1,17,0.9214285714285714,20
BOL,2024,0.7058823529411765,17,0.6842105263157895,19
ECU,2024,1,17,0.9035714285714287,20
PAN,2022,1,16,0.8872180451127818,19
NIC,2018,NA,0,NA,0
HND,2018,0.9375,16,0.8007518796992481,19
BOL,2007,0.4666666666666667,15,0.45378151260504196,17
PRY,2012,0.36363636363636365,11,0.3333333333333333,12
NIC,2012,NA,0,NA,0
VEN,2010,0.8461538461538461,13,0.8316326530612245,14
CHL,2022,0.8823529411764706,17,0.782142857142857,20
CHL,2008,0.8823529411764706,17,0.75,20
PRY,2016,0.7647058823529411,17,0.7222222222222222,18
CRI,2020,1,16,0.9661654135338344,19
BOL,2008,0.4666666666666667,15,0.45378151260504196,17
ECU,2007,0.6,15,0.5238095238095237,18
BRA,2022,0.8235294117647058,17,0.7857142857142857,20
COL,2018,0.8823529411764706,17,0.8035714285714286,20
HND,2012,0.9375,16,0.9375,16
VEN,2020,0.8461538461538461,13,0.8418367346938777,14
BRA,2016,0.8235294117647058,17,0.7857142857142857,20
COL,2020,0.8823529411764706,17,0.8035714285714286,20
GTM,2010,0.9375,16,0.8458646616541354,19
MEX,2010,1,17,0.9107142857142858,20
GUY,2024,0.8823529411764706,17,0.8107142857142857,20
ARG,2016,1,17,0.9464285714285714,20
CRI,2012,1,16,1,16
HND,2024,0.9375,16,0.868421052631579,19
PAN,2024,1,16,0.8872180451127818,19
SLV,2008,0.23076923076923078,13,0.1875,16
CHL,2016,0.8823529411764706,17,0.782142857142857,20
SLV,2018,0.9411764705882353,17,0.8964285714285714,20
GTM,2007,0.5625,16,0.5300751879699249,19
MEX,2024,1,17,0.9571428571428571,20
ARG,2007,0.5454545454545454,11,0.46153846153846156,13
VEN,2008,0.8461538461538461,13,0.8316326530612245,14
BOL,2014,0.6,15,0.5798319327731093,17
BRA,2018,0.8235294117647058,17,0.7857142857142857,20
ECU,2012,1,17,0.9035714285714287,20
PER,2007,0.21428571428571427,14,0.21428571428571427,14
COL,2016,0.8823529411764706,17,0.8035714285714286,20
SLV,2012,0.8,10,0.7976190476190478,12
ECU,2020,1,17,0.9035714285714287,20
COL,2024,0.8823529411764706,17,0.8035714285714286,20
CRI,2016,1,16,0.9661654135338344,19
ECU,2008,0.6,15,0.5238095238095237,18
COL,2010,0.8823529411764706,17,0.7714285714285714,20
GTM,2016,0.9375,16,0.8458646616541354,19
BOL,2010,0.6,15,0.5714285714285715,17
ARG,2010,0.5454545454545454,11,0.46153846153846156,13
BLZ,2010,0.3333333333333333,6,0.2857142857142857,7
BLZ,2007,0.3333333333333333,6,0.2857142857142857,7
CHL,2020,0.8823529411764706,17,0.782142857142857,20
NIC,2020,NA,0,NA,0
PER,2018,0.6875,16,0.7030075187969926,19
BOL,2016,0.6,15,0.5882352941176471,17
PER,2016,0.6875,16,0.7030075187969926,19
BLZ,2014,0.3333333333333333,6,0.2857142857142857,7
GTM,2014,0.9375,16,0.8458646616541354,19
MEX,2022,1,17,0.9357142857142856,20
CRI,2022,1,16,0.9661654135338344,19
GUY,2014,0.2222222222222222,9,0.2,10
CHL,2014,0.8823529411764706,17,0.7928571428571429,20
URY,2020,0.8823529411764706,17,0.782142857142857,20
PER,2008,0.5625,16,0.5864661654135337,19
GTM,2020,0.9375,16,0.8458646616541354,19
SLV,2014,0.8,10,0.7738095238095237,12
BLZ,2024,0.3333333333333333,6,0.2857142857142857,7
ECU,2010,0.6,15,0.5238095238095237,18
ARG,2008,0.5454545454545454,11,0.46153846153846156,13
PER,2022,0.6875,16,0.7030075187969926,19
CHL,2018,0.8823529411764706,17,0.782142857142857,20
VEN,2016,0.8461538461538461,13,0.8418367346938777,14
ECU,2022,1,17,0.9035714285714287,20
GUY,2012,0.2222222222222222,9,0.2,10
CHL,2012,0.8823529411764706,17,0.75,20
URY,2016,0.8823529411764706,17,0.782142857142857,20
URY,2022,0.9411764705882353,17,0.8321428571428573,20
BLZ,2018,0.3333333333333333,6,0.2857142857142857,7
NIC,2024,NA,0,NA,0
BRA,2010,0.8235294117647058,17,0.7964285714285714,20
SLV,2016,0.9411764705882353,17,0.8964285714285714,20
HND,2014,0.9375,16,0.9375,16
BOL,2022,0.7058823529411765,17,0.6842105263157895,19
CRI,2010,0.5833333333333334,12,0.5102040816326531,14
PRY,2022,0.8823529411764706,17,0.782142857142857,20
CRI,2008,0.5833333333333334,12,0.5102040816326531,14
CRI,2024,1,16,0.9661654135338344,19
HND,2016,0.9375,16,0.9375,16
NIC,2007,NA,0,NA,0
PRY,2018,0.8823529411764706,17,0.782142857142857,20
NIC,2010,NA,0,NA,0
PAN,2007,0.5833333333333334,12,0.4666666666666667,15
SLV,2022,0.9411764705882353,17,0.8964285714285714,20
PER,2024,0.6875,16,0.7030075187969926,19
PAN,2010,1,16,0.8872180451127818,19
VEN,2024,0.8461538461538461,13,0.8418367346938777,14
VEN,2012,0.8461538461538461,13,0.8316326530612245,14
COL,2007,0.8181818181818182,11,0.6428571428571429,14
ARG,2020,1,17,0.9464285714285714,20
BOL,2012,0.6,15,0.5798319327731093,17
HND,2022,0.9375,16,0.868421052631579,19
COL,2014,0.8823529411764706,17,0.8035714285714286,20
BRA,2024,0.8235294117647058,17,0.7857142857142857,20
ARG,2024,1,17,0.9464285714285714,20
GUY,2007,0.3333333333333333,6,0.2857142857142857,7
ECU,2016,1,17,0.9035714285714287,20
GTM,2022,0.9375,16,0.8458646616541354,19
GTM,2024,0.9375,16,0.8458646616541354,19
ARG,2018,1,17,0.9464285714285714,20
BLZ,2020,0.3333333333333333,6,0.2857142857142857,7
PRY,2007,0.36363636363636365,11,0.3333333333333333,12
GUY,2020,0.8823529411764706,17,0.8107142857142857,20
PRY,2014,0.36363636363636365,11,0.3333333333333333,12
ARG,2014,1,17,0.9464285714285714,20
BRA,2020,0.8235294117647058,17,0.7857142857142857,20
URY,2008,0.8235294117647058,17,0.742857142857143,20
HND,2010,0.9375,16,0.9375,16
BRA,2012,0.8235294117647058,17,0.7964285714285714,20
PRY,2024,0.8823529411764706,17,0.782142857142857,20
COL,2008,0.7142857142857143,14,0.5882352941176471,17
CRI,2007,0.5833333333333334,12,0.5102040816326531,14
URY,2018,0.8823529411764706,17,0.782142857142857,20
NIC,2022,NA,0,NA,0
URY,2014,0.8823529411764706,17,0.782142857142857,20
GUY,2010,0.2222222222222222,9,0.2,10
CRI,2014,1,16,0.9661654135338344,19
GTM,2008,0.875,16,0.793233082706767,19
MEX,2014,1,17,0.9035714285714287,20
