iso3c,year,uhc
ARG,2010,78
ARG,2011,78
ARG,2012,79
ARG,2013,80
ARG,2014,80
ARG,2015,81
ARG,2016,81
ARG,2017,80
ARG,2018,79
ARG,2019,79
ARG,2020,79
ARG,2021,80
ARG,2022,80
ARG,2023,80
BLZ,2010,67
BLZ,2011,69
BLZ,2012,68
BLZ,2013,69
BLZ,2014,70
BLZ,2015,70
BLZ,2016,69
BLZ,2017,69
BLZ,2018,68
BLZ,2019,68
BLZ,2020,68
BLZ,2021,69
BLZ,2022,70
BLZ,2023,70
BOL,2010,50
BOL,2011,51
BOL,2012,56
BOL,2013,58
BOL,2014,59
BOL,2015,61
BOL,2016,64
BOL,2017,65
BOL,2018,65
BOL,2019,65
BOL,2020,65
BOL,2021,66
BOL,2022,68
BOL,2023,67
BRA,2010,77
BRA,2011,80
BRA,2012,81
BRA,2013,81
BRA,2014,82
BRA,2015,83
BRA,2016,83
BRA,2017,83
BRA,2018,83
BRA,2019,83
BRA,2020,84
BRA,2021,84
BRA,2022,83
BRA,2023,84
CHL,2010,73
CHL,2011,75
CHL,2012,74
CHL,2013,76
CHL,2014,78
CHL,2015,79
CHL,2016,80
CHL,2017,82
CHL,2018,81
CHL,2019,82
CHL,2020,82
CHL,2021,82
CHL,2022,83
CHL,2023,84
COL,2010,75
COL,2011,73
COL,2012,76
COL,2013,77
COL,2014,78
COL,2015,80
COL,2016,81
COL,2017,82
COL,2018,80
COL,2019,81
COL,2020,82
COL,2021,82
COL,2022,83
COL,2023,82
CRI,2010,81
CRI,2011,81
CRI,2012,82
CRI,2013,83
CRI,2014,84
CRI,2015,82
CRI,2016,83
CRI,2017,85
CRI,2018,83
CRI,2019,84
CRI,2020,85
CRI,2021,84
CRI,2022,84
CRI,2023,84
ECU,2010,71
ECU,2011,74
ECU,2012,72
ECU,2013,73
ECU,2014,77
ECU,2015,79
ECU,2016,79
ECU,2017,80
ECU,2018,79
ECU,2019,79
ECU,2020,78
ECU,2021,78
ECU,2022,78
ECU,2023,78
GTM,2010,58
GTM,2011,58
GTM,2012,58
GTM,2013,59
GTM,2014,57
GTM,2015,58
GTM,2016,56
GTM,2017,56
GTM,2018,57
GTM,2019,59
GTM,2020,61
GTM,2021,59
GTM,2022,59
GTM,2023,58
GUY,2010,63
GUY,2011,68
GUY,2012,69
GUY,2013,70
GUY,2014,70
GUY,2015,71
GUY,2016,73
GUY,2017,73
GUY,2018,74
GUY,2019,78
GUY,2020,80
GUY,2021,80
GUY,2022,76
GUY,2023,73
HND,2010,59
HND,2011,59
HND,2012,60
HND,2013,61
HND,2014,61
HND,2015,64
HND,2016,65
HND,2017,63
HND,2018,60
HND,2019,64
HND,2020,65
HND,2021,64
HND,2022,64
HND,2023,64
MEX,2010,70
MEX,2011,73
MEX,2012,75
MEX,2013,76
MEX,2014,77
MEX,2015,77
MEX,2016,78
MEX,2017,78
MEX,2018,78
MEX,2019,78
MEX,2020,78
MEX,2021,79
MEX,2022,79
MEX,2023,79
NIC,2010,66
NIC,2011,67
NIC,2012,68
NIC,2013,70
NIC,2014,71
NIC,2015,70
NIC,2016,71
NIC,2017,72
NIC,2018,70
NIC,2019,71
NIC,2020,71
NIC,2021,71
NIC,2022,72
NIC,2023,70
PAN,2010,73
PAN,2011,76
PAN,2012,78
PAN,2013,78
PAN,2014,78
PAN,2015,78
PAN,2016,79
PAN,2017,80
PAN,2018,80
PAN,2019,81
PAN,2020,82
PAN,2021,83
PAN,2022,82
PAN,2023,82
PER,2010,65
PER,2011,65
PER,2012,66
PER,2013,69
PER,2014,70
PER,2015,71
PER,2016,70
PER,2017,70
PER,2018,70
PER,2019,69
PER,2020,70
PER,2021,68
PER,2022,69
PER,2023,68
PRY,2010,70
PRY,2011,70
PRY,2012,69
PRY,2013,69
PRY,2014,70
PRY,2015,71
PRY,2016,72
PRY,2017,72
PRY,2018,73
PRY,2019,77
PRY,2020,79
PRY,2021,79
PRY,2022,79
PRY,2023,79
SLV,2010,75
SLV,2011,76
SLV,2012,77
SLV,2013,79
SLV,2014,81
SLV,2015,79
SLV,2016,80
SLV,2017,80
SLV,2018,78
SLV,2019,79
SLV,2020,79
SLV,2021,78
SLV,2022,79
SLV,2023,79
SUR,2010,70
SUR,2011,70
SUR,2012,71
SUR,2013,73
SUR,2014,73
SUR,2015,74
SUR,2016,75
SUR,2017,75
SUR,2018,76
SUR,2019,77
SUR,2020,77
SUR,2021,75
SUR,2022,75
SUR,2023,74
URY,2010,82
URY,2011,83
URY,2012,83
URY,2013,84
URY,2014,84
URY,2015,84
URY,2016,84
URY,2017,85
URY,2018,85
URY,2019,85
URY,2020,85
URY,2021,83
URY,2022,84
URY,2023,85
VEN,2010,69
VEN,2011,70
VEN,2012,73
VEN,2013,74
VEN,2014,75
VEN,2015,75
VEN,2016,77
VEN,2017,77
VEN,2018,77
VEN,2019,76
VEN,2020,77
VEN,2021,77
VEN,2022,77
VEN,2023,75
