iso3c,year,v2xlg_legcon,v2edideol_mean,v2cacamps
MEX,2010,0.72,1.5,-0.319
MEX,2011,0.72,1.5,-0.319
MEX,2012,0.72,1.5,-0.183
MEX,2013,0.619,1.5,-0.304
MEX,2014,0.619,1.5,-0.304
MEX,2015,0.587,1.5,-0.18
MEX,2016,0.591,1.5,0.068
MEX,2017,0.647,1.5,-0.067
MEX,2018,0.58,1.5,0.846
MEX,2019,0.413,1.5,1.638
MEX,2020,0.448,1.5,1.589
MEX,2021,0.473,1.5,1.412
MEX,2022,0.395,NA,1.566
MEX,2023,0.357,NA,1.566
MEX,2024,0.272,NA,1.973
SUR,2010,0.839,NA,-0.646
SUR,2011,0.839,NA,-0.646
SUR,2012,0.825,NA,-0.646
SUR,2013,0.833,NA,-0.646
SUR,2014,0.833,NA,-0.646
SUR,2015,0.833,NA,-0.646
SUR,2016,0.8,NA,-0.646
SUR,2017,0.834,NA,-0.646
SUR,2018,0.775,NA,-0.646
SUR,2019,0.713,NA,-0.646
SUR,2020,0.871,NA,-0.646
SUR,2021,0.871,NA,-0.295
SUR,2022,0.871,NA,-0.626
SUR,2023,0.788,NA,-0.146
SUR,2024,0.759,NA,-0.146
COL,2010,0.835,1,1.018
COL,2011,0.844,1,0.785
COL,2012,0.844,1,0.785
COL,2013,0.825,1,0.785
COL,2014,0.846,1,0.892
COL,2015,0.846,1,0.892
COL,2016,0.823,1,0.892
COL,2017,0.828,1,0.892
COL,2018,0.827,1,1.02
COL,2019,0.819,1,1.02
COL,2020,0.778,1,1.205
COL,2021,0.759,1,1.054
COL,2022,0.835,NA,0.687
COL,2023,0.835,NA,0.687
COL,2024,0.823,NA,1.867
BRA,2010,0.902,1,-0.703
BRA,2011,0.909,1,-0.703
BRA,2012,0.909,1,-0.703
BRA,2013,0.923,1,0.081
BRA,2014,0.923,1,0.291
BRA,2015,0.927,1,0.366
BRA,2016,0.844,1,1.156
BRA,2017,0.789,1,1.3
BRA,2018,0.789,1.062,2.195
BRA,2019,0.799,1.062,2.218
BRA,2020,0.788,1.188,2.285
BRA,2021,0.791,1.188,2.484
BRA,2022,0.819,NA,2.576
BRA,2023,0.943,NA,1.693
BRA,2024,0.936,NA,1.693
SLV,2010,0.632,1,0.817
SLV,2011,0.632,1,0.817
SLV,2012,0.632,1,0.817
SLV,2013,0.661,1,0.817
SLV,2014,0.661,1,0.817
SLV,2015,0.661,1,0.758
SLV,2016,0.673,1,0.758
SLV,2017,0.688,1,0.758
SLV,2018,0.662,1,0.758
SLV,2019,0.655,1,0.758
SLV,2020,0.615,1,0.845
SLV,2021,0.285,1,1.497
SLV,2022,0.116,NA,1.497
SLV,2023,0.097,NA,1.497
SLV,2024,0.053,NA,1.497
BOL,2010,0.42,2,0.791
BOL,2011,0.42,2,0.791
BOL,2012,0.42,2,0.579
BOL,2013,0.435,2,0.579
BOL,2014,0.435,2,0.579
BOL,2015,0.422,2,0.579
BOL,2016,0.422,2,1.323
BOL,2017,0.385,2,1.323
BOL,2018,0.367,2,1.323
BOL,2019,0.341,2,2.371
BOL,2020,0.691,2,3.391
BOL,2021,0.391,2,2.26
BOL,2022,0.458,NA,2.991
BOL,2023,0.489,NA,1.988
BOL,2024,0.358,NA,2.23
HND,2010,0.251,1.5,0.938
HND,2011,0.251,1.5,0.805
HND,2012,0.251,1.5,0.307
HND,2013,0.275,1.5,0.307
HND,2014,0.308,1.5,0.002
HND,2015,0.308,1.5,0.002
HND,2016,0.308,1.5,0.002
HND,2017,0.305,1.5,0.63
HND,2018,0.317,1.5,0.894
HND,2019,0.299,1.5,0.894
HND,2020,0.308,1,0.894
HND,2021,0.288,1,0.894
HND,2022,0.48,NA,0.006
HND,2023,0.524,NA,0.407
HND,2024,0.418,NA,0.407
PER,2010,0.806,1.2,-0.169
PER,2011,0.829,1.2,-0.238
PER,2012,0.881,1.2,-0.181
PER,2013,0.875,1.2,-0.181
PER,2014,0.875,1.2,-0.181
PER,2015,0.885,1.2,-0.181
PER,2016,0.926,1.333,0.785
PER,2017,0.955,1.2,0.911
PER,2018,0.966,1.2,0.996
PER,2019,0.961,1.2,0.92
PER,2020,0.969,1.2,1.004
PER,2021,0.976,1.2,1.916
PER,2022,0.972,NA,2.503
PER,2023,0.858,NA,2.503
PER,2024,0.751,NA,2.503
ARG,2010,0.76,1.857,0.836
ARG,2011,0.722,1.857,1.146
ARG,2012,0.715,1.857,1.146
ARG,2013,0.707,1.857,1.88
ARG,2014,0.717,1.857,1.88
ARG,2015,0.76,1.857,1.88
ARG,2016,0.836,1.857,1.88
ARG,2017,0.824,1.857,1.88
ARG,2018,0.805,1.857,1.88
ARG,2019,0.767,1.857,1.88
ARG,2020,0.718,1.857,1.88
ARG,2021,0.754,1.857,1.88
ARG,2022,0.744,NA,1.88
ARG,2023,0.819,NA,1.88
ARG,2024,0.816,NA,1.88
VEN,2010,0.039,2.5,1.92
VEN,2011,0.031,2.5,1.92
VEN,2012,0.031,2.5,1.92
VEN,2013,0.033,2.5,2.114
VEN,2014,0.033,2.5,2.122
VEN,2015,0.117,2.5,2.044
VEN,2016,0.292,2.5,2.044
VEN,2017,0.27,2.5,2.448
VEN,2018,0.153,2.5,2.448
VEN,2019,0.176,2.6,2.083
VEN,2020,0.139,2.6,2.083
VEN,2021,0.065,2.666,1.682
VEN,2022,0.057,NA,1.581
VEN,2023,0.057,NA,1.985
VEN,2024,0.042,NA,2.227
NIC,2010,0.244,NA,-0.034
NIC,2011,0.244,NA,-0.034
NIC,2012,0.167,NA,-0.034
NIC,2013,0.053,NA,-0.034
NIC,2014,0.053,NA,-0.034
NIC,2015,0.052,NA,-0.034
NIC,2016,0.041,NA,-0.034
NIC,2017,0.041,3,-0.034
NIC,2018,0.045,3,1.733
NIC,2019,0.045,3,1.733
NIC,2020,0.034,3,2.095
NIC,2021,0.026,3,3.136
